publishedAt,score
2021-01-11,0.2764592945575714
2021-01-12,0.37362854480743407
2021-01-13,0.19753572940826417
2021-01-14,0.0
2021-01-15,0.09671907424926758
2021-01-16,0.16311754584312438
2021-01-17,0.28825355172157285
2021-01-18,0.19843291044235228
2021-01-19,0.3706433713436127
2021-01-20,0.34711002707481386
2021-01-21,0.1376357078552246
2021-01-22,0.498534220457077
2021-01-23,0.19718974828720093
2021-01-24,0.19995548725128173
2021-01-25,-0.2250179886817932
2021-01-26,0.2998770594596863
2021-01-27,0.49808443784713746
2021-01-28,0.10075856447219848
2021-01-29,0.09023791551589966
2021-01-30,5.9425830841064455e-06
2021-01-31,0.03931772708892822
2021-02-01,0.2829189360141754
2021-02-02,0.0
2021-02-03,0.19894641637802124
2021-02-04,0.10128326416015625
2021-02-05,0.020050227642059326
